file_name.x,package,version.x,file_name.y,version.y
masscleaner_1.0.6.tar.gz,masscleaner,1.0.6,masscleaner_1.0.6.tar.gz,1.0.6
massconverter_1.0.3.tar.gz,massconverter,1.0.3,massconverter_1.0.3.tar.gz,1.0.3
massdatabase_1.0.5.tar.gz,massdatabase,1.0.5,massdatabase_1.0.5.tar.gz,1.0.5
massdataset_1.0.18.tar.gz,massdataset,1.0.18,massdataset_1.0.18.tar.gz,1.0.18
massprocesser_1.0.5.tar.gz,massprocesser,1.0.5,massprocesser_1.0.5.tar.gz,1.0.5
massqc_1.0.5.tar.gz,massqc,1.0.5,massqc_1.0.5.tar.gz,1.0.5
massstat_1.0.3.tar.gz,massstat,1.0.3,massstat_1.0.3.tar.gz,1.0.3
masstools_1.0.8.tar.gz,masstools,1.0.8,masstools_1.0.8.tar.gz,1.0.8
metid_1.2.24.tar.gz,metid,1.2.24,metid_1.2.24.tar.gz,1.2.24
metpath_1.0.3.tar.gz,metpath,1.0.3,metpath_1.0.5.tar.gz,1.0.5
tidymass_1.0.6.tar.gz,tidymass,1.0.6,tidymass_1.0.6.tar.gz,1.0.6
